I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION,,
10185,,2016,6,7,19,15,33,31,6.3,6.3,,,,,,4,INDONESIA,,INDONESIA:  MALUKU:  TERNATE ISLAND,1.279,126.371,170,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,
10187,,2016,7,1,14,59,15,10,5,5,,,,,,,TAJIKISTAN,,TAJIKISTAN:  RASHT,38.881,70.559,40,,,,,,,,1,31,1,,,,,,,,,,1,31,1,,,,
10188,,2016,7,29,21,19,14,196,7.7,7.7,,,,,,4,USA TERRITORY,MP,NORTHERN MARIANA ISLANDS,18.543,145.507,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10366,,2016,7,31,9,18,17,25,4.9,,,4.9,,,,,CHINA,,CHINA:  GUANGXI PROVINCE,24.134,111.478,30,,,,,,,,2,,,200,3,,,,,,,,2,,,200,3,,
10189,,2016,7,31,23,41,28,21,5.6,5.6,,,,,,6,INDONESIA,,INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA,-8.194,117.814,60,,,,,4,1,,2,,,700,3,,,,,4,1,,2,,,700,3,,
10190,Tsu,2016,8,12,1,26,28,16,7.2,7.2,,,,,,,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-22.477,173.117,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10191,,2016,8,15,2,58,    ,8,5.5,5.5,,,,,,6,PERU,,PERU:  AREQUIPA,-15.64,-71.68,160,9,1,,,68,2,,2,605,3,671,3,9,1,,,68,2,,2,605,3,671,3,,
10192,Tsu,2016,8,19,7,33,11,10,7.4,7.4,,,,,,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,SOUTH SANDWICH ISLANDS,-55.285,-31.877,70,,,,,,,,,,,,,,,,,,,,,,,,,,
10481,Tsu,2016,8,20,9,1,26,10,6,6,,,,,,2,JAPAN,,JAPAN:  OFF EAST COAST HONSHU,40.394,143.68,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10194,,2016,8,24,1,36,2,4,6.2,6.2,,,,,,9,ITALY,,ITALY:  ACCUMOLI, ARQUATA, AMATRICE,42.704,13.238,130,299,3,15,1,368,3,5000,4,,3,,2,299,3,15,1,368,3,5000,4,,3,,2
10195,,2016,8,24,10,34,58,82,6.8,6.8,,,,,,5,MYANMAR (BURMA),,MYANMAR (BURMA): CHAUK,20.923,94.569,60,4,1,,,20,1,10,3,,,230,3,4,1,,,20,1,10,3,,,230,2,,
10196,Tsu,2016,9,1,16,37,3,19,7,7,,,,,,5,NEW ZEALAND,,NEW ZEALAND:  GISBORNE,-37.359,179.146,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10197,,2016,9,10,12,27,41,40,5.9,5.9,,,,,,,TANZANIA,,TANZANIA:  LAKE VICTORIA;  UGANDA: RAKAI,-1.036,31.618,10,23,1,,,252,3,458,4,1172,4,6281,4,23,1,,,252,3,458,4,1172,4,6281,4,,
10198,,2016,9,11,13,10,7,13,5.1,5.1,,,,,,6,MACEDONIA,,BALKANS NW:  MACEDONIA,42.008,21.488,130,,,,,30,1,10,3,,,,1,,,,,30,1,10,3,,,,1,,
10199,,2016,9,12,11,33,17,13,5.4,5.4,,,,,,6,SOUTH KOREA,,SOUTH KOREA:  GYEONGJU,35.781,129.216,30,1,1,,,14,1,21,3,,,106,3,1,1,,,14,1,21,3,,,106,3,,
10228,,2016,9,23,16,12,1,10,4.8,,,4.8,,,,,RWANDA,,RWANDA:  RISUZI; CONGO:  UKAVU,-2.65,29.06,10,8,1,,,,1,,1,22,1,,,8,1,,,,1,,1,22,1,,,,
